label,idx,kind,from,to,warmup,ph_appeared,ph_seen_ms,ph_gone_ms,route_ms,remounted,remount_ms,first_content_ms,switch_ack_ms,history_ms,history_bytes,live_resume_ms,first_output_ms,chunk_frames,chunk_first_ms,chunk_last_ms,ws_frames,keys_at_ms,live_ms,live_after_keys_ms,post_live_after_keys_ms,timeout
after,0,cross,%0,%2,1,1,38.3,49,4.8,1,49,92.2,44.9,78.8,32380,107.3,135.8,0,,,11,5.2,92.2,87,38.5,0
after,1,cross,%2,%1,1,1,30.6,43.1,14.2,1,43.1,81.8,36,77.2,32380,84.5,84.6,0,,,12,5.2,81.8,76.6,49.8,0
after,2,cross,%1,%2,0,1,27.7,38.7,13.5,1,38.7,70.9,37.7,62.9,32454,73.7,,0,,,6,5.3,70.9,65.6,41.6,0
after,3,cross,%2,%0,0,1,21.3,32.7,5.8,1,32.7,71.6,26.4,66.9,32380,74.1,75.9,0,,,14,6.7,71.6,64.9,52.6,0
after,4,cross,%0,%2,0,1,28.5,39.7,13.9,1,39.7,109.8,44.7,102.7,32528,109.4,,0,,,6,5.5,109.8,104.3,42.9,0
after,5,cross,%2,%1,0,1,22,33.4,5.7,1,33.4,77.5,27.2,73,32454,80.1,80.3,0,,,13,6.5,77.5,71,38.1,0
after,6,cross,%1,%2,0,1,26.6,32.2,14.2,1,32.2,69.4,38.8,62.6,32602,70.7,,0,,,6,5.6,69.4,63.8,48.4,0
after,7,cross,%2,%0,0,1,29.9,40.6,14.4,1,40.6,91.3,35,86.6,32454,94.4,94.5,0,,,15,4.8,91.3,86.5,50.6,0
after,8,cross,%0,%2,0,1,13.5,19.6,0.6,1,19.6,54.5,16.2,48,32676,56,56.1,0,,,6,31.9,54.5,22.6,45.3,0
after,9,cross,%2,%1,0,1,20.5,39.2,5.3,1,39.2,97.4,26.2,92.9,32530,96.9,100.1,0,,,13,6.5,97.4,90.9,41,0
after,10,cross,%1,%2,0,1,26.7,38.3,4.3,1,38.3,72.7,32,65.6,32752,73.9,,0,,,5,11.7,72.7,61,38.3,0
after,11,cross,%2,%0,0,1,24.2,38.3,4.5,1,38.3,88.1,30.4,82.2,32530,86.5,86.6,0,,,12,7.9,88.1,80.2,39.6,0
after,12,cross,%0,%2,0,1,17.9,24.5,4.6,1,24.5,82.4,20.4,74.9,32830,84.3,,0,,,6,5.8,82.4,76.6,39.5,0
after,13,cross,%2,%1,0,1,32.9,48.1,12.2,1,48.1,90.2,40.8,85.8,32608,93,93.1,0,,,13,8.3,90.2,81.9,38.6,0
after,14,cross,%1,%2,0,1,24.3,35.3,2.1,1,35.3,68.7,28.3,62.8,32908,68.2,69.9,0,,,7,33.7,68.7,35,45.1,0
after,15,cross,%2,%0,0,1,34.6,53,13.6,1,53,81.4,41.1,77.2,32608,84.3,84.3,0,,,12,5.1,81.4,76.3,33.9,0
after,0,same,%0,%1,1,0,,0,5.7,1,14,14,,,,,23.7,0,,,5,5.5,41.3,35.8,36.1,0
after,1,same,%1,%0,1,0,,0,4.6,1,13.7,13.7,,,,,26,0,,,4,8.8,47.4,38.6,36,0
after,2,same,%0,%1,0,0,,0,14.1,1,22.4,22.4,,,,,23.5,0,,,4,5.5,39.7,34.2,42.1,0
after,3,same,%1,%0,0,0,,0,5.4,1,13.9,13.9,,,,,23.7,0,,,3,5.3,41.3,36,41.3,0
after,4,same,%0,%1,0,0,,0,2.4,1,19.5,19.5,,,,,35.6,0,,,3,19.2,60.5,41.3,40.9,0
after,5,same,%1,%0,0,0,,0,10.5,1,19.7,19.7,,,,,23.6,0,,,4,6.4,36.3,29.9,35.7,0
after,6,same,%0,%1,0,0,,0,4.6,1,13,13,,,,,23.4,0,,,4,5.8,46.1,40.3,30.6,0
after,7,same,%1,%0,0,0,,0,5.4,1,17.9,17.9,,,,,26.8,0,,,3,9.9,47.9,38,50.4,0
after,8,same,%0,%1,0,0,,0,6,1,15.8,15.8,,,,,25.6,0,,,4,5.5,41.1,35.6,36.6,0
after,9,same,%1,%0,0,0,,0,3.3,1,12.1,12.1,,,,,24,0,,,3,6.7,45.5,38.8,41.5,0
after,10,same,%0,%1,0,0,,0,11.6,1,22.6,22.6,,,,,22.3,0,,,3,5.7,36.9,31.2,35.6,0
after,11,same,%1,%0,0,0,,0,12.3,1,21.7,21.7,,,,,22.8,0,,,3,5.7,38.3,32.6,39.9,0
after,12,same,%0,%1,0,0,,0,10.7,1,19.1,19.1,,,,,22.3,0,,,5,5.2,35.9,30.7,38.9,0
after,13,same,%1,%0,0,0,,0,11.7,1,20.1,20.1,,,,,22.5,0,,,3,4.9,36.8,31.9,54.2,0
after,14,same,%0,%1,0,0,,0,12.2,1,20.2,20.2,,,,,22.8,0,,,4,5.7,37.7,32,31.6,0
after,15,same,%1,%0,0,0,,0,13.5,1,23.4,23.4,,,,,24.8,0,,,4,5.7,38.9,33.2,48.4,0
