label,idx,kind,from,to,warmup,ph_appeared,ph_seen_ms,ph_gone_ms,route_ms,remounted,remount_ms,first_content_ms,switch_ack_ms,history_ms,history_bytes,live_resume_ms,first_output_ms,chunk_frames,chunk_first_ms,chunk_last_ms,ws_frames,want_history,keepalive_panes,keys_at_ms,live_ms,live_after_keys_ms,post_live_after_keys_ms,timeout
after2,0,cross,%0,%2,1,1,33.1,43.3,13.3,1,43.3,151.6,39.1,123.4,32380,138.3,138.5,0,,,28,1,1,7.2,151.6,144.4,34.6,0
after2,1,cross,%2,%1,1,1,30.9,46.1,3.1,1,46.1,121,40.8,116.1,32380,120.6,122.5,0,,,23,1,0,9.8,121,111.2,79,0
after2,2,cross,%1,%2,0,1,40.9,50.4,13.9,1,50.4,107.1,43.3,99.6,32454,106.5,,0,,,14,1,1,6.8,107.1,100.3,45.1,0
after2,3,cross,%2,%0,0,1,33.4,53,12.5,1,53,101.2,39,96.3,32380,103.3,103.4,0,,,23,1,0,6.8,101.2,94.4,48.2,0
after2,4,cross,%0,%2,0,1,29,44,12.3,1,44,105.2,39.1,98,32528,104.8,,0,,,16,1,1,5.2,105.2,100,41.8,0
after2,5,cross,%2,%1,0,1,34.8,46.1,11.7,1,46.1,121.2,41.2,116.5,32454,120.6,120.7,0,,,22,1,0,9.7,121.2,111.5,38.9,0
after2,6,cross,%1,%2,0,1,19,25,5.7,1,25,68.3,21.3,61.7,32602,69.9,,0,,,14,1,1,5.9,68.3,62.4,35.3,0
after2,7,cross,%2,%0,0,1,24,44,4.9,1,44,112.6,33.1,97.8,32454,102.2,102.3,0,,,21,1,0,13.4,112.6,99.2,43.1,0
after2,8,cross,%0,%2,0,1,28.7,41.6,13.7,1,41.6,97.3,46.4,90.1,32676,96.6,,0,,,17,1,1,7.9,97.3,89.4,40.4,0
after2,9,cross,%2,%1,0,1,24.9,37.4,1.2,1,37.4,112.4,31.3,107.1,32530,111.2,111.2,0,,,23,1,0,37.9,112.4,74.5,57.3,0
after2,10,cross,%1,%2,0,1,21.4,32.9,5.9,1,32.9,97.3,24.6,90.6,32752,96.5,,0,,,18,1,1,7.1,97.3,90.2,35,0
after2,11,cross,%2,%0,0,1,26.9,38.3,4.7,1,38.3,108.8,33.6,104.2,32530,108.4,108.4,0,,,23,1,0,8.9,108.8,99.9,63.7,0
after2,12,cross,%0,%2,0,1,18,31,0.7,1,31,73.2,26.1,67.5,32830,74.4,74.5,0,,,17,1,1,28.6,73.2,44.6,51.4,0
after2,13,cross,%2,%1,0,1,25.7,38.1,2.8,1,38.1,98.4,32.3,94.2,32608,99.8,99.9,0,,,21,1,0,9.9,98.4,88.5,37.6,0
after2,14,cross,%1,%2,0,1,26.9,39,12,1,39,107.7,43.8,101.5,32908,107.2,,0,,,19,1,1,5.8,107.7,101.9,42.6,0
after2,15,cross,%2,%0,0,1,28.8,37.1,10.5,1,58,89.4,35.4,84.9,32608,92.6,92.6,0,,,22,1,0,7.2,89.4,82.2,38.7,0
after2,0,same,%0,%1,1,0,,0,4,1,14.9,14.9,,,,,28.4,0,,,8,,0,10.7,47.9,37.2,41.1,0
after2,1,same,%1,%0,1,0,,0,4.1,1,15.5,15.5,,,,,30.8,0,,,4,,0,12.5,54.1,41.6,42.1,0
after2,2,same,%0,%1,0,0,,0,11.8,1,23.6,23.6,,,,,26.2,0,,,4,,0,8.6,38.3,29.7,37,0
after2,3,same,%1,%0,0,0,,0,3,1,18.3,18.3,,,,,27.8,0,,,4,,0,9,45.3,36.3,36.4,0
after2,4,same,%0,%1,0,0,,0,7.1,1,16.5,16.5,,,,,25.1,0,,,6,,0,6.4,50.1,43.7,40.9,0
after2,5,same,%1,%0,0,0,,0,13.2,1,21.4,21.4,,,,,22.8,0,,,4,,0,5.5,40.2,34.7,33.6,0
after2,6,same,%0,%1,0,0,,0,4.3,1,13.1,13.1,,,,,24.3,0,,,4,,0,6.4,50.6,44.2,51.4,0
after2,7,same,%1,%0,0,0,,0,4.8,1,15.5,15.5,,,,,23.1,0,,,4,,0,5.3,37.8,32.5,43.6,0
after2,8,same,%0,%1,0,0,,0,4.1,1,15.8,15.8,,,,,26.7,0,,,4,,0,9.9,46.1,36.2,32.3,0
after2,9,same,%1,%0,0,0,,0,13.1,1,21.5,21.5,,,,,25,0,,,4,,0,8.2,38.3,30.1,47.8,0
after2,10,same,%0,%1,0,0,,0,13,1,21.2,21.2,,,,,23.3,0,,,4,,0,6.4,38.4,32,43.3,0
after2,11,same,%1,%0,0,0,,0,4.5,1,15.5,15.5,,,,,27.4,0,,,6,,0,9.7,46.4,36.7,35.4,0
after2,12,same,%0,%1,0,0,,0,3.5,1,14.6,14.6,,,,,27,0,,,4,,0,9.2,47.1,37.9,46.2,0
after2,13,same,%1,%0,0,0,,0,4.9,1,16.7,16.7,,,,,25.9,0,,,4,,0,9.1,38,28.9,54.5,0
after2,14,same,%0,%1,0,0,,0,12.5,1,20.9,20.9,,,,,27.2,0,,,4,,0,6.1,48.1,42,34.1,0
after2,15,same,%1,%0,0,0,,0,6.9,1,15.1,15.1,,,,,25.2,0,,,6,,0,6.7,41.6,34.9,32.6,0
after2,0,single,%2,%3,1,1,40.2,51.7,7.4,1,51.7,127.7,51.1,113.1,32382,127,127.3,0,,,18,1,2,26.2,127.7,101.5,83,0
after2,1,single,%3,%4,1,1,25.5,38.7,4.8,1,38.7,117.5,33.8,103.5,32382,116.8,116.9,0,,,17,1,3,9.1,117.5,108.4,39.6,0
after2,2,single,%4,%2,1,0,,0,3.2,1,18,18,17.4,,,17.6,17.4,0,,,11,0,3,9.7,38.6,28.9,38.5,0
after2,3,single,%2,%3,0,0,,0,7.9,1,17.2,17.2,19.2,,,19.2,19.1,0,,,11,0,3,6.5,43.9,37.4,42.8,0
after2,4,single,%3,%4,0,0,,0,10.3,1,25.1,25.1,21.5,,,21.5,21.3,0,,,11,0,3,7.9,51.3,43.4,46.1,0
after2,5,single,%4,%2,0,0,,0,12.8,1,46.2,46.2,44.9,,,44.9,36.7,0,,,13,0,3,6.3,54.4,48.1,35.9,0
after2,6,single,%2,%3,0,0,,0,4.8,1,18.4,18.4,20.7,,,20.7,20.5,0,,,11,0,3,8.4,46.4,38,94.3,0
after2,7,single,%3,%4,0,0,,0,12.8,1,28,28,32.2,,,32.2,29.7,0,,,11,0,3,5.7,48.2,42.5,37,0
after2,8,single,%4,%2,0,0,,0,3.8,1,13.1,13.1,15.6,,,15.6,15.4,0,,,11,0,3,5.1,36.3,31.2,43.8,0
after2,9,single,%2,%3,0,0,,0,10.6,1,25.1,25.1,24.3,,,24.5,24,0,,,11,0,3,11.5,47.9,36.4,44.5,0
after2,10,single,%3,%4,0,0,,0,10.2,1,22.4,22.4,24.3,,,24.3,24.2,0,,,11,0,3,6.9,47.6,40.7,40,0
after2,11,single,%4,%2,0,0,,0,1,1,10.4,10.4,12.5,,,12.7,36.7,0,,,11,0,3,18,51.2,33.2,46.3,0
after2,12,single,%2,%3,0,0,,0,4.4,1,14,14,16.3,,,16.3,16.2,0,,,13,0,3,7.4,34.2,26.8,46.8,0
after2,13,single,%3,%4,0,0,,0,10.4,1,23,23,25.1,,,25.2,25,0,,,11,0,3,10,47.9,37.9,35.7,0
after2,14,single,%4,%2,0,0,,0,4.4,1,16.2,16.2,18,,,18,17.9,0,,,11,0,3,9.8,33,23.2,46.2,0
after2,15,single,%2,%3,0,0,,0,5.7,1,18.7,18.7,21.3,,,21.4,21.1,0,,,11,0,3,7.7,39.6,31.9,48.3,0
