label,idx,kind,from,to,warmup,ph_appeared,ph_seen_ms,ph_gone_ms,route_ms,remounted,remount_ms,first_content_ms,switch_ack_ms,history_ms,history_bytes,live_resume_ms,first_output_ms,chunk_frames,chunk_first_ms,chunk_last_ms,ws_frames,keys_at_ms,live_ms,live_after_keys_ms,post_live_after_keys_ms,timeout
baseline,0,cross,%0,%2,1,1,41,52.5,7,1,52.5,100.9,87.5,87.9,32380,512.5,512.5,0,,,12,5.2,100.9,95.7,41.9,0
baseline,1,cross,%2,%1,1,1,30.2,47.1,13.8,1,47.1,80.2,35.4,75.5,32380,522.2,522.4,0,,,14,5.7,80.2,74.5,39.2,0
baseline,2,cross,%1,%2,0,1,26.5,35.6,12.7,1,35.6,69.3,35.1,62,32454,515.1,,0,,,6,5.4,69.3,63.9,42.7,0
baseline,3,cross,%2,%0,0,1,25.9,40.2,10.6,1,40.2,78.1,31,72.5,32380,515.4,515.5,0,,,14,6.1,78.1,72,31.5,0
baseline,4,cross,%0,%2,0,1,27.8,33.8,13.9,1,33.8,72.6,43.3,65.5,32528,517.5,,0,,,6,4.8,72.6,67.8,43.3,0
baseline,5,cross,%2,%1,0,1,28.6,33.1,14,1,33.1,89,31.3,81.4,32454,521.3,521.9,0,,,14,6.2,89,82.8,40.2,0
baseline,6,cross,%1,%2,0,1,22.6,32.9,6.6,1,32.9,65.4,27.2,57.8,32602,510.2,,0,,,5,5.7,65.4,59.7,45.4,0
baseline,7,cross,%2,%0,0,1,21.4,37.1,5.8,1,37.1,72.8,27.5,65.3,32454,512.5,512.7,0,,,14,6,72.8,66.8,34.3,0
baseline,8,cross,%0,%2,0,1,19,25.3,5.7,1,25.3,64.7,21.6,56.6,32676,509.6,,0,,,5,5.3,64.7,59.4,39.7,0
baseline,9,cross,%2,%1,0,1,21.5,33.4,6.6,1,33.4,83,26.7,78.7,32530,526,526.2,0,,,14,5,83,78,47.2,0
baseline,10,cross,%1,%2,0,1,14.7,20.9,1.9,1,20.9,55.5,17.1,49.1,32752,501.3,,0,,,6,5.2,55.5,50.3,39.7,0
baseline,11,cross,%2,%0,0,1,27.1,41.6,12.4,1,41.6,81.3,30.4,74.9,32530,524.8,525.9,0,,,12,6.5,81.3,74.8,35.6,0
baseline,12,cross,%0,%2,0,1,27.1,32.7,13.7,1,32.7,72.4,43.1,65.3,32830,517.3,,0,,,6,4.9,72.4,67.5,36.1,0
baseline,13,cross,%2,%1,0,1,20.8,31.6,5.7,1,31.6,72.6,26.1,68.6,32608,510.5,510.6,0,,,14,5.6,72.6,67,39.6,0
baseline,14,cross,%1,%2,0,1,19.8,28.8,7.1,1,28.8,58.9,22.2,53.7,32908,506.6,,0,,,7,5.1,58.9,53.8,47.5,0
baseline,15,cross,%2,%0,0,1,27.7,39.2,13.7,1,39.2,75.4,30.5,71.2,32608,521.1,521.2,0,,,13,5.9,75.4,69.5,38.8,0
baseline,0,same,%0,%1,1,0,,0,13.6,1,22,22,,,,,23,0,,,5,6.1,40,33.9,34.4,0
baseline,1,same,%1,%0,1,0,,0,12.7,1,22.4,22.4,,,,,23.6,0,,,4,6,39,33,43.1,0
baseline,2,same,%0,%1,0,0,,0,13.6,1,21.3,21.3,,,,,22.5,0,,,4,4.8,40.5,35.7,36.8,0
baseline,3,same,%1,%0,0,0,,0,13.4,1,22,22,,,,,23.2,0,,,4,5.3,39.7,34.4,41.5,0
baseline,4,same,%0,%1,0,0,,0,14,1,22.4,22.4,,,,,23.3,0,,,4,4.9,39.1,34.2,40.9,0
baseline,5,same,%1,%0,0,0,,0,4.4,1,13.4,13.4,,,,,24.5,0,,,3,5.8,48.4,42.6,38.4,0
baseline,6,same,%0,%1,0,0,,0,5.9,1,15.1,15.1,,,,,24.5,0,,,4,7.4,48.3,40.9,40.4,0
baseline,7,same,%1,%0,0,0,,0,13.6,1,22.1,22.1,,,,,23.1,0,,,3,5.5,38.7,33.2,41.6,0
baseline,8,same,%0,%1,0,0,,0,13.8,1,22.1,22.1,,,,,23,0,,,4,5.6,38.8,33.2,41.6,0
baseline,9,same,%1,%0,0,0,,0,6,1,14,14,,,,,23.9,0,,,4,5.6,47.4,41.8,34.8,0
baseline,10,same,%0,%1,0,0,,0,10.8,1,20.5,20.5,,,,,23.6,0,,,4,5,38.6,33.6,37.1,0
baseline,11,same,%1,%0,0,0,,0,11.2,1,19.3,19.3,,,,,29.3,0,,,3,9.9,52.7,42.8,46.6,0
baseline,12,same,%0,%1,0,0,,0,11.3,1,19.7,19.7,,,,,25.1,0,,,4,6.9,45.2,38.3,47.5,0
baseline,13,same,%1,%0,0,0,,0,10.3,1,18.7,18.7,,,,,24.7,0,,,3,6.9,43.9,37,42.2,0
baseline,14,same,%0,%1,0,0,,0,10.1,1,19.2,19.2,,,,,23.6,0,,,4,5.6,44.2,38.6,53.7,0
baseline,15,same,%1,%0,0,0,,0,7.2,1,15.1,15.1,,,,,22.3,0,,,4,5.5,40.5,35,54.3,0
