label,idx,kind,from,to,warmup,ph_appeared,ph_seen_ms,ph_gone_ms,route_ms,remounted,remount_ms,first_content_ms,switch_ack_ms,history_ms,history_bytes,live_resume_ms,first_output_ms,chunk_frames,chunk_first_ms,chunk_last_ms,ws_frames,want_history,keepalive_panes,keys_at_ms,live_ms,live_after_keys_ms,post_live_after_keys_ms,timeout
baseline2,0,cross,%0,%2,1,1,25.4,39.6,5.5,1,39.6,100.4,32.8,91.9,32380,542.9,543,0,,,19,1,0,8.3,100.4,92.1,39.9,0
baseline2,1,cross,%2,%1,1,1,24.5,31.2,5.7,1,49.3,94.2,29.8,88.9,32380,521.9,522.3,0,,,22,1,0,6.2,94.2,88,38.3,0
baseline2,2,cross,%1,%2,0,1,26,38.7,5.5,1,38.7,108.8,36.3,101.3,32454,551.4,,0,,,16,1,0,5.2,108.8,103.6,50.7,0
baseline2,3,cross,%2,%0,0,1,22.4,30.6,5.3,1,30.6,89.2,27.6,84.2,32380,535.4,535.5,0,,,23,1,0,5.8,89.2,83.4,41.2,0
baseline2,4,cross,%0,%2,0,1,22,32.1,5.9,1,32.1,84.9,26.5,77.7,32528,529.7,,0,,,16,1,0,5.4,84.9,79.5,34.8,0
baseline2,5,cross,%2,%1,0,1,25.5,45,4.7,1,45,113.8,32.5,108.6,32454,557.1,557.2,0,,,22,1,0,7.9,113.8,105.9,35.9,0
baseline2,6,cross,%1,%2,0,1,26.6,33,13.4,1,33,85.7,29.4,78.7,32602,529.9,,0,,,14,1,0,5.9,85.7,79.8,37.2,0
baseline2,7,cross,%2,%0,0,1,30.2,39.1,12.7,1,54.5,107.7,37.7,102.8,32454,544,544.2,0,,,23,1,0,9.6,107.7,98.1,40.3,0
baseline2,8,cross,%0,%2,0,1,31.6,44.5,13.9,1,44.5,141.9,38,135,32676,585.4,,0,,,18,1,0,19.1,141.9,122.8,42.3,0
baseline2,9,cross,%2,%1,0,1,30.2,42.1,13.8,1,42.1,94.6,36,89.8,32530,541.7,542,0,,,21,1,0,6.1,94.6,88.5,59.8,0
baseline2,10,cross,%1,%2,0,1,25.2,35.3,5.8,1,35.3,97.2,30.2,89.9,32752,539.3,,0,,,16,1,0,11.2,97.2,86,41.7,0
baseline2,11,cross,%2,%0,0,1,22.8,31.2,5.1,1,31.2,125.1,28.8,120.3,32530,571.4,571.6,0,,,21,1,0,6.8,125.1,118.3,32.1,0
baseline2,12,cross,%0,%2,0,1,21.4,37.7,5.5,1,37.7,139.5,25.7,131.2,32830,581.4,,0,,,18,1,0,5.7,139.5,133.8,45.4,0
baseline2,13,cross,%2,%1,0,1,17.3,140.1,0.5,1,140.1,341.6,130.5,326.7,32608,777.7,777.8,0,,,19,1,0,276,341.6,65.6,33.2,0
baseline2,14,cross,%1,%2,0,1,31.9,74.7,13.3,1,74.7,179.8,68.5,173.3,32908,624.2,,0,,,18,1,0,14.3,179.8,165.5,39.8,0
baseline2,15,cross,%2,%0,0,1,28.8,38,3.8,1,38,130.2,32.5,125.5,32608,576.4,576.5,0,,,19,1,0,8.4,130.2,121.8,34.5,0
